,painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
1,282,https://www.twoinchbrush.com/images/painting282.png,A Walk in the Woods,1,1,8,https://www.youtube.com/embed/oh5p5f5_-7A,"[""Alizarin Crimson"", ""Bright Red"", ""Cadmium Yellow"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#DB0000"", ""#FFEC00"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15""]",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,284,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Cadmium Yellow"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#FFEC00"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15""]",1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
4,285,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,1,4,3,https://www.youtube.com/embed/0pwoixRikn4,"[""Prussian Blue"", ""Titanium White"", ""Van Dyke Brown""]","[""#021E44"", ""#FFFFFF"", ""#221B15""]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
6,287,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,"[""Black Gesso"", ""Prussian Blue"", ""Titanium White"", ""Van Dyke Brown""]","[""#000000"", ""#021E44"", ""#FFFFFF"", ""#221B15""]",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
12,293,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,1,12,4,https://www.youtube.com/embed/4E35-8x_y04,"[""Alizarin Crimson"", ""Prussian Blue"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#021E44"", ""#FFFFFF"", ""#221B15""]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
14,269,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
16,271,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
18,273,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
22,277,https://www.twoinchbrush.com/images/painting277.png,Black and White Seascape,2,9,12,https://www.youtube.com/embed/PMDyPrE0puo,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
24,279,https://www.twoinchbrush.com/images/painting279.png,Black Waterfall,2,11,12,https://www.youtube.com/embed/GzSqjyQUPZQ,"[""Alizarin Crimson"", ""Black Gesso"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
