,painting index,img src,painting title,season,episode,num colors,youtube src,colors,color hex,black gesso,bright red,burnt umber,cadmium yellow,dark sienna,indian red,indian yellow,liquid black,liquid clear,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,alizarin crimson
1,282,https://www.twoinchbrush.com/images/painting282.png,a walk in the woods,1,1,8,https://www.youtube.com/embed/oh5p5f5 -7a,"[alizarin crimson, bright red, cadmium yellow, phthalo green, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #db0000, #ffec00, #102e3c, #021e44, #0a3410, #ffffff, #221b15]",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3,284,https://www.twoinchbrush.com/images/painting284.png,ebony sunset,1,3,9,https://www.youtube.com/embed/uozir7povco,"[alizarin crimson, black gesso, bright red, cadmium yellow, phthalo green, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #000000, #db0000, #ffec00, #102e3c, #021e44, #0a3410, #ffffff, #221b15]",1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
4,285,https://www.twoinchbrush.com/images/painting285.png,winter mist,1,4,3,https://www.youtube.com/embed/0pwoixrikn4,"[prussian blue, titanium white, van dyke brown]","[#021e44, #ffffff, #221b15]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
6,287,https://www.twoinchbrush.com/images/painting287.png,winter moon,1,6,4,https://www.youtube.com/embed/loazruzx1wi,"[black gesso, prussian blue, titanium white, van dyke brown]","[#000000, #021e44, #ffffff, #221b15]",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
12,293,https://www.twoinchbrush.com/images/painting293.png,snow fall,1,12,4,https://www.youtube.com/embed/4e35-8x y04,"[alizarin crimson, prussian blue, titanium white, van dyke brown]","[#4e1500, #021e44, #ffffff, #221b15]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
14,269,https://www.twoinchbrush.com/images/painting269.png,meadow lake,2,1,12,https://www.youtube.com/embed/garwowi0qxi,"[alizarin crimson, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
16,271,https://www.twoinchbrush.com/images/painting271.png,ebony sea,2,3,13,https://www.youtube.com/embed/aojsknzo3i8,"[alizarin crimson, black gesso, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
18,273,https://www.twoinchbrush.com/images/painting273.png,autumn splendor,2,5,11,https://www.youtube.com/embed/rttww5gd79i,"[alizarin crimson, bright red, burnt umber, cadmium yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
22,277,https://www.twoinchbrush.com/images/painting277.png,black and white seascape,2,9,12,https://www.youtube.com/embed/pmdypre0puo,"[alizarin crimson, black gesso, bright red, cadmium yellow, indian yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #ffb800, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
24,279,https://www.twoinchbrush.com/images/painting279.png,black waterfall,2,11,12,https://www.youtube.com/embed/gzsqjyqupzq,"[alizarin crimson, black gesso, burnt umber, cadmium yellow, indian yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #8a3324, #ffec00, #ffb800, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
30,259,https://www.twoinchbrush.com/images/painting259.png,winter night,3,4,7,https://www.youtube.com/embed/8ysfknywhae,"[alizarin crimson, bright red, cadmium yellow, liquid black, phthalo green, titanium white, van dyke brown]","[#4e1500, #db0000, #ffec00, #000000, #102e3c, #ffffff, #221b15]",0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1
31,260,https://www.twoinchbrush.com/images/painting260.png,distant hills,3,5,7,https://www.youtube.com/embed/8zge88tvwje,"[alizarin crimson, burnt umber, cadmium yellow, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #8a3324, #ffec00, #0a3410, #ffffff, #221b15, #c79b00]",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
32,261,https://www.twoinchbrush.com/images/painting261.png,covered bridge,3,6,10,https://www.youtube.com/embed/ohsm8kle7js,"[alizarin crimson, bright red, burnt umber, cadmium yellow, midnight black, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #8a3324, #ffec00, #000000, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
33,262,https://www.twoinchbrush.com/images/painting262.png,quiet inlet,3,7,10,https://www.youtube.com/embed/9n5iwkzyiyu,"[alizarin crimson, burnt umber, cadmium yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #8a3324, #ffec00, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
