title,air date,description
a walk in the woods,1983-01-11,
mount mckinley,1983-01-11,
ebony sunset,1983-01-18,
winter mist,1983-01-25,
quiet stream,1983-02-01,
winter moon,1983-02-08,
autumn mountains,1983-02-15,
peaceful valley,1983-02-22,
seascape,1983-03-01,
mountain lake,1983-03-08,
winter glow,1983-03-15,
snowfall,1983-03-22,
final reflections,1983-03-29,
meadow lake,1983-08-31,
winter sun,1983-09-07,
ebony sea,1983-09-14,
shades of gray,1983-09-21,
autumn splendor,1983-09-28,
black river,1983-10-05,
brown mountain,1983-10-12,
reflections,1983-10-19,
black & white seascape,1983-10-26,
lazy river,1983-11-02,
black waterfall,1983-11-09,
mountain waterfall,1983-11-16,
final grace,1983-11-23,
mountain retreat,1984-01-04,
blue moon,1984-01-11,
bubbling stream,1984-01-18,
winter night,1984-01-25,
distant hills,1984-02-01,
covered bridge,1984-02-08,
quiet inlet,1984-02-15,
night light,1984-02-22,
the old mill,1984-03-01,
campfire,1984-03-08,
rustic barn,1984-03-15,
hidden lake,1984-03-22,
peaceful waters,1984-03-29,
purple splendor,1984-09-05,
tranquil valley,1984-09-12,
majestic mountains,1984-09-19,
winter sawscape,1984-09-26,
evening seascape,1984-10-03,
warm summer day,1984-10-10,
cabin in the woods,1984-10-17,
wetlands,1984-10-24,
cool waters,1984-10-31,
quiet woods,1984-11-07,
northwest majesty,1984-11-14,
autumn days,1984-11-21,
mountain challenge,1984-11-28,
twilight meadow,1985-01-09,
mountain blossoms,1985-01-16,
winter stillness,1985-01-23,
quiet pond,1985-01-30,
bubbling brook,1985-02-13,
arizona splendor,1985-02-20,
the windmill,1985-03-06,
autumn glory,1985-03-13,
indian girl,1985-03-20,
meadow stream,1985-03-27,
blue river,1985-05-01,
nature's edge,1985-05-08,
morning mist,1985-05-15,
whispering stream,1985-05-22,
secluded forest,1985-05-29,
snow trail,1985-06-05,
arctic beauty,1985-06-12,
horizons west,1985-06-19,
high chateau,1985-06-26,
country life,1985-07-02,
western expanse,1985-07-09,
marshlands,1985-07-16,
blaze of color,1985-07-23,
winter cabin,1985-10-02,
secluded lake,1985-10-09,
evergreen at sunset,1985-10-16,
mountain cabin,1985-10-23,
portrait of sally,1985-10-30,
misty waterfall,1985-11-06,
barn at sunset,1985-11-13,
mountain splendor,1985-11-20,
lake by mountain,1985-11-27,
mountain glory,1985-12-06,
grey winter,1985-12-13,
dock scene,1985-12-20,
dark waterfall,1985-12-27,
misty rolling hills,1986-01-02,
lakeside cabin,1986-01-09,
warm winter day,1986-01-16,
waterside way,1986-01-23,
hunter's haven,1986-01-30,
bubbling mountain brook,1986-02-06,
winter hideaway,1986-02-13,
foot of the mountain,1986-02-20,
majestic pine,1986-02-27,
cactus at sunset,1986-03-06,
mountain range,1986-03-13,
lonely retreat,1986-03-20,
northern lights,1986-03-27,
winter evergreens,1986-04-30,
surf's up,1986-05-07,
red sunset,1986-05-14,
meadow road,1986-05-21,
winter oval,1986-05-28,
secluded beach,1986-06-04,
forest hills,1986-06-11,
little house by the road,1986-06-18,
mountain pass,1986-06-25,
country charm,1986-07-02,
nature's paradise,1986-07-09,
mountain by the sea,1986-07-16,
mountain hideaway,1986-07-23,
towering peaks,1986-09-03,
cabin at sunset,1986-09-10,
twin falls,1986-09-17,
secluded bridge,1986-09-24,
ocean breeze,1986-10-01,
autumn woods,1986-10-08,
winter solitude,1986-10-15,
golden sunset,1986-10-22,
mountain oval,1986-10-29,
ocean sunset,1986-11-05,
triple view,1986-11-12,
winter frost,1986-11-19,
mountain stream,1986-12-31,
country cabin,1987-01-07,
daisy delight,1987-01-14,
hidden stream,1987-01-21,
towering glacier,1987-01-28,
oval barn,1987-02-04,
lakeside path,1987-02-11,
sunset oval,1987-02-18,
winter barn,1987-02-25,
sunset over the waves,1987-03-04,
golden glow,1987-03-11,
roadside barn,1987-03-18,
happy accident,1987-03-25,
golden knoll,1987-04-29,
mountain reflections,1987-05-06,
secluded mountain,1987-05-13,
bright autumn trees,1987-05-20,
black seascape,1987-05-27,
steep mountains,1987-06-03,
quiet mountain river,1987-06-10,
evening waterfall,1987-06-17,
tropical seascape,1987-06-24,
mountain at sunset,1987-07-01,
soft mountain glow,1987-07-08,
mountain in an oval,1987-07-15,
winter mountain,1987-07-22,
rolling hills,1987-09-02,
frozen solitude,1987-09-09,
meadow brook,1987-09-16,
evening sunset,1987-09-23,
mountain view,1987-09-30,
hidden creek,1987-10-07,
peaceful haven,1987-10-14,
mountain exhibition,1987-10-21,
emerald waters,1987-10-28,
mountain summit,1987-11-04,
cabin hideaway,1987-11-11,
oval essence,1987-11-18,
lost lake,1987-11-25,
distant mountains,1987-12-30,
meadow brook surprise,1988-01-06,
mountain moonlight oval,1988-01-13,
snowy solitude,1988-01-20,
mountain river,1988-01-27,
graceful mountains,1988-02-03,
windy waves,1988-02-10,
on a clear day,1988-02-17,
riverside escape oval,1988-02-24,
